"","title","abstract","authors","pub_year","reviewer_name","consistency_check","marine_y_n","water_body_type","original_research_y_n","response_variable","connectivity_metric","inclusion","notes","ID","reason"
"59","spatial heterogeneity in trophic status of shallow lakes on the boreal plain: influence of hydrologic setting",NA,NA,NA,"check","CP","N","lake","Y","chlorophyll-a concentration","hydrologic metrics","Y","","chl_62",NA
"60","spatial variability of chlorophyll-a and abiotic variables in a river-floodplain system during different hydrological phases","Chlorophyll-a (Chl-a) and abiotic variables were measured in the main channel and floodplain waterbodies of the Middle Parana River to analyse the system dynamics and to assess their spatial variability during different hydrological phases, including an extreme flood. We wanted to test that the flood does not always have a homogenising effect in a river-floodplain system. An explanatory model for Chl-a was performed according to Akaike's Information Criterion (AIC), and the relation of water level with the coefficient of variation (CV) among sites for each variable was explored. The model explained 64% of Chl-a variability. Water level, depth:euphotic zone ratio (Z (d):Z (eu)) (inverse correlation) and conductivity (direct correlation) were the significant explicative variables. The CV of Chl-a decreased with flood from the main channel to the floodplain, but for turbidity, Z (d):Z (eu), pH, dissolved oxygen, soluble reactive phosphorus and Chl-a:pheophytin-a ratio, it increased. However, within the floodplain, CV of turbidity, Z (d):Z (eu) and pH decreased during flood. These suggest that the homogenising effect frequently observed during inundation cannot be generalised and that the floodplain may maintain its identity even during flood. The extreme flood and its overlap with the warm season and sedimentological pulse probably contributed to the heterogeneity in the spatial gradient.","Mayora, Gisela; Devercelli, Melina; Giri, Federico",2013,"RP","LY","N","floodplain","Y","chla","coefficient of variation","Y",NA,"chl_63",NA
"61","spatial variability of zooplankton along a section of river sio under different habitat conditions","Many factors influence the abundance and species richness of zooplankton in river systems, including river hydrology, morphology, phytoplankton development and biotic interactions. River Sio discharges into Lake Victoria and forms a boundary between Kenya and Uganda at its middle and lower reaches. The river has an average discharge of 11.4 m3s-1 contributing 1.5% of riverine water input into Lake Victoria. Zooplankton community studies were carried out along a section of River Sio and its floodplain on the Ugandan side between November 2008 and January 2009. The main focus of the study was that River Sio zooplankton diversity; biomass and abundance patterns were expected to change with differing levels of lateral connectivity and habitat heterogeneity of the river plus its floodplain. Sampling along lateral and longitudinal transects of the river were done to investigate the effect of habitat heterogeneity subject to the river's flooding regimes on the abundance, composition and diversity of its zooplankton. Zooplankton samples were collected using a zooplankton net of mesh size 60/lm and a Schindler trap sampler for qualitative and quantitative analyses. Other factors determined were selected physico-chemical variables. Zooplankton and physical-chemical data were subjected to statistical analyses (ANOVA, multivariate, regression and correlation analyses) for significant tests after log transformation. The ordination of samples (sites and dates) of physical-chemical or biological variables was carried out using Principal Components Analysis (PCA). Similarity and diversity indices were used to assess structural patterns. In total, 45 rotifer, 9 copepod and 7 cladocera species were identified. Mean zooplankton density and biomass of River Sio were lower in the main channel of the river compared to its floodplain sites. Significant habitat differences were observed for zooplankton composition and abundance but no seasonal biomass and density differences were identified. Nutrient levels of River Sio were found to be very low. Physicalchemical factors like chlorophyll-a showed strong influences on the zooplankton community structure. These findings suggest that both low and high river water levels and the availability of heterogeneous habitats are crucial for zooplankton development in River Sio. The high zooplankton density observed bears significance to the ecological functions of the river as a breeding and nursery ground for potamodromous fishes from Lake Victoria.","Gimbo, R",2009,"MB","LY","n","river and floodplain","y","zooplankton community","unclear; water level, lateral connectivity","y","Describes the impact of floodplain innundation on zooplankton. Chlorophyll a discussed as predictor, not response variable.","chl_64",NA
"62","suspended sediment, nutrients, and chlorophyll in tropical floodplain lakes with different patterns of hydrological connectivity","The ecological functioning of floodplain lakes is largely influenced by the interaction with the river mainstem. In this study, seasonal variation in water chemistry and the relationship with the river conditions were compared between floodplain lakes that differ in the level of connection to the Usumacinta River, the largest river of Mesoamerica. Samples for suspended solids, nutrients, and chlorophyll a were collected through the year in lakes permanently connected to the river and in lakes that only received water from the Usumacinta for a short period during peak flow. Floodplain lakes showed higher total suspended solids than the river during the dry season while during the rainy season greater differences were observed between the river and the lakes, probably explained by higher concentrations in the river and greater sedimentation in the lakes. Greater organic matter content in the suspended solids was observed in the floodplain lakes, particularly in the more isolated lakes, likely related to high algal biomass. Nitrate concentrations were always higher in the river than in the lakes and lower nitrate concentrations occurred at the isolated lakes, suggesting that processes that remove nitrate occur through the year and are a common feature of floodplain lakes. Phosphorus in the connected lakes was higher than in the river only during the dry season, while in the isolated lakes concentrations were always greater than in the river. Chlorophyll a concentrations were higher in the connected lakes than in the river only during the dry season, while the more isolated lakes exhibited higher values through the year, showing signs of eutrophication. Suspended organic matter, nitrate, and chlorophyll showed larger differences between lake and river sites in the more isolated lakes, probably related to greater water residence time and its influence on primary production. Less connected lakes are more vulnerable to flow alteration because the brief period of connection to the river can be compromised and the effects of eutrophication exacerbated.","Castillo, María M",2020,"DC","PG","n","lake and river","y","chlorophyll-a, nitrite, organic matter, phosporus","spatial isolation/connection","y",NA,"chl_65",NA
"63","temporal coherence between lake and landscape primary productivity","Understanding the patterns and drivers of primary productivity is a major goal of ecology, but little is known about whether the primary productivities of different types of ecosystems—here, lakes and the landscapes in which they are embedded—fluctuate in related ways through time. Due to shared climatic variation and well-known connections between lake and terrestrial ecosystems, such as nutrient and resource subsidies, we hypothesized that interannual fluctuations in aquatic and terrestrial primary productivity indices could be coherent. We also expected that lake and watershed characteristics could modify the strength and nature of primary productivity relationships. We applied wavelet coherence analyses to time series of lake chlorophyll-a and satellite-derived NDVI to examine coherence between lakes and land, and used random forest regression and generalized additive models to evaluate why coherence varies among lakes. There can be substantial coherence between lake and terrestrial primary productivity, but the strength and phase (direction and time lag) of this relationship vary widely, and there were marked differences between short (2–4-year periods of oscillation) and long (&gt; 4-year periods of oscillation) timescales. Across all timescales, variables associated with the connectedness of lakes to their watersheds were consistently the important explanatory variables of the strength and phase of coherence. The patterns observed in this study suggest the importance of cross-ecosystem flows, as opposed to shared climatic variation, in determining temporal coherence between lakes and the landscape.","Walter, Jonathan A;Fleck, Rachel;Kastens, Jude H;Pace, Michael L;Wilkinson, Grace M",2021,"DC","ES","n","lake","y","chlorophyll-a and NDVI","adjacency (somewhat unclear)","y","The connectivity metrics are not well defined, they are statistically derived from the landscapes surrounding the lakes","chl_66",NA
"64","the hydrochemical response of small and shallow floodplain water bodies to temporary surface water connections with the main river","We investigated the effects of temporary surface water connections with the main river on the water chemistry of large and small waterbodies in a Danube floodplain by comparing hydrochemical data before, during and after water exchange with the Danube during two large floods in 2009 and 2013. In addition, we studied the effects of an increased frequency of flood pulses on the water chemistry of the floodplain via long-term monitoring data. We used conservative (i.e. biologically non-reactive) parameters (alkalinity, Ca, Cl, K, Mg, Na, SO4, conductivity) to identify hydrochemical changes due to the mixing with river water. Changes in non-conservative parameters (PO4-P, NO3-N, NO2-N, NH4-N, total phosphorus, dissolved organic carbon, dissolved oxygen, chlorophyll-a), which deviated from pure mixing effects, were ascribed to alterations of biogeochemical processes induced by the imported river water. In large floodplain waterbodies, both conservative and non-conservative parameters changed towards Danube water concentrations during the connection with the main river and returned to pre-connection levels after the water exchange ended. Only chlorophyll-a concentrations were almost twice as high in the post-connection phase than before the connection. In small floodplain waterbodies, conservative and non-conservative parameters showed similar changes during the connection with the main river. However, the concentrations of PO4-P, total phosphorus and chlorophyll-a did not return to pre-connection levels, but increased further in the post-connection phase, exceeding even Danube water concentrations. We attribute these changes to phosphorus releases from the sediments and enhanced primary and bacterial production induced by the river water. In years with an increased flooding frequency, both conservative and non-conservative parameters approached Danube water concentrations in large floodplain waterbodies due to the increased surface water exchange. In small floodplain waterbodies, conservative parameters remained unaffected by the increased connection with the river, while nitrate, ammonium, phosphate, total phosphorus and chlorophyll-a concentrations were considerably higher in wet years than in dry years. We conclude that the temporary input of oxygen- and nutrient-rich river water to small, mainly isolated backwaters can induce changes in benthic biogeochemical processes, which may provoke an internal eutrophication of these waterbodies.","Weigelhofer, Gabriele; Preiner, Stefan; Funk, Andrea; Bondar-Kunze, Elisabeth; Hein, Thomas",2015,"ES","PG","N","riverine","Y","multiple ","Chl-a, nuts","Y",NA,"chl_68",NA
"65","the impact of inundation-isolation cycles on the culturable bacterioplankton in the danube river floodplain","The investigation was conducted in the Kopacki Rit Nature Park (eastern Croatia) which is established to protect the floodplain area of the Danube River. The samples were collected monthly in four sites (channels and lakes) with increasing distance from the river. The aim of investigation was to examine trophic structure of culturable bacterioplankton in relation to inundation-isolation cycles on sampling sites with unequal degree of connection with the Danube river. A change in the ratio of copiotrophs (r- strategists) to oligotrophs (K-strategists) was expected as the different organic carbon sources emerged. The composition of variables was revealed by Principal Component Analysis of abiotic water properties (temperature, water depth, transparency, pH, electrical conductivity, dissolved oxygen, nutrient concentrations) and the chlorophyll-a concentration. Scores of significant components were used in a Multiple Regression as independent variables and the relationship between the scores and abundance of colony forming units (CFUs) was examined. Regression model was significant only for copiotrophs, and their relative dominance was noticed in couple of samples on more isolated sampling sites. In all other samples oligotrophs were a dominant group, especially during the flood pulses or drainage after it. Their elevated abundance was equally distributed in all groups revealed by Principal Component Analysis, and corresponds to the fluvial action. Also concerning the two-way ANOVA (sites/samplings) oligotrophs are highly influenced by the sampling period i.e. inundation-isolation cycles. They are probably driven by the allochthonous organic matter provided by floods or have allochthonous origin itself. At the same time, copiotrophs are to some extent coupled with the established water properties, i.e. bottom-up controlled and their abundance is influenced by the localisation of sampling sites in the floodplain. These results describe the development of the conditions that promote habitat specific succession of the culturable bacterioplankton. Established differences had disappeared after additional inundation-isolation cycles.","Palijan, Goran; Bogut, Irella; Vidakovic, Jasna",2008,"ES","CP","N","riverine","Y","trophic structure of bacterioplankton","scores of abiotic WQ + Chl-a components (PCA)","y","look at full paper","chl_69",NA
"66","the performance of ecological cage aquaculture of pejerrey odontesthes bonariensis in pampean lakes under two different hydrological scenarios","Ecological aquaculture promotes the development of sustainable farming systems, focusing on a wide range of ecosystem elements. The ecological aquaculture of the zooplanktivorous pejerrey ( Odontesthes bonariensis ) in floating cages in Pampean shallow lakes (Argentina) needs to be carried out considering the hydrological and chemical variations as modulators of plankton community and consequently of the pejerrey yield. To assess its performance in lakes with contrasting hydrological regimes, an experiment was carried out in two water bodies: La Salada de Monasterio Lake (Mon), an endorheic environment, and San Lorenzo Lake (Lor), connected to several lakes and the Salado River. During the experiment, regional rainfall generated high hydrological variability in Lor Lake changing its status of unconnected lake to a runâ€ofâ€theâ€river lake. High standard deviation in Chlorophyllâ€a values in Lor indicated the significant effects of hydrological instability on the plankton community. Microcrustaceans abundance and biomass were higher in Mon, and almost disappeared in Lor when it turns into runâ€ofâ€theâ€river. The final fish growth and survival were significantly higher in Mon, endorsing the importance of zooplankton of high nutritional quality and hydrological, physicalâ€“chemical and biological stability. The results indicate that productive and stable environments with a sustained offer of natural food are better for the zooplanktivorous fish production. Connectivity with other water bodies and hydrological dependence on rainfall regimes have defining effects on phytoplankton, zooplankton and fish production, thus emerging as key factors to be considered for achieving better results in the ecological aquaculture implementation.","Javier R Garcia de Souza;Moreno, Vivian Yorojo;Sathicq, MarÃ­a B;GÃ³mez, Nora;Sampietro, Susana;Donadelli, Jorge;Colautti, DarÃ­o C",2021,"MB","RP","n","lake","y","chlorophyll a, microcrustacean abundance and biomass, fish growth and survival","connected/not connected","y","Included because paper describes the impact of changes in hydrologic connectivity on phytoplankton and the food web (zooplankton, fish).","chl_71",NA
"67","the significance of side-arm connectivity for carbon dynamics of the river danube, austria",NA,NA,NA,"check","LY","N ","river and floodplain","Y","Primary production","Autochthonous/Allocthonous carbon pools","Y","Biogeochemical cycles","chl_73",NA
"68","the spatial ecology of phytoplankton blooms in uk canals",NA,NA,NA,"check","LY","N ","canals","Y","cyano bloom presence","hydrological distances","Y","Negative effects of connectivity","chl_74",NA
"69","towards deconfounding hydrological and seasonal temperature variability in the determination of selected limnological variables of a temperate floodplain ecosystem","This paper presents a methodological approach that can aid the assessment of variation in limnological variables in response to hydrological phases and seasonal temperature variation. The investigation was conducted in the Danube River floodplain, Kopacki Rit, Croatia. The proposed approach facilitates a more accurate examination of the effects of first factor, while maintaining second factor less variable, and vice versa. Samples were collected in the floodplain channel and lake along a temporal connectivity gradient, and were grouped according to three hydrological phases (isolation, flow pulse and flood pulse) and according to three seasons (spring, summer and autumn). A permutational multivariate analysis of variance was used to analyse the hydrological effects within seasons, as well as seasonal effects within hydrological phases on selected limnological variables: pH, conductivity, dissolved oxygen, nitrites, nitrates, ammonium, total Kjeldahl nitrogen, total phosphorus, chlorophyll a concentrations and ratio of copiotrophic to oligotrophic bacteria. A multivariate data cloud was structured by hydrological phases during all investigated seasons, but not by all seasons during different hydrological phases. The strongest impact of hydrological phases on limnological variables occurred during summer. Seasonal effects were significant during the isolation and the flood pulse phases. The flow pulse phase somehow obscured the effects of seasonal change, resulting in temporal floodplain homogenization. One possible explanation is that water temperature determines potential limnological conditions, whereas hydrology determines actual conditions. Such results must be taken into account if the accurate effects of hydrology and seasonal change are to be assessed in temperate floodplain ecosystems. Copyright copyright 2014 John Wiley & Sons, Ltd.","Palijan, Goran",2015,"RP","DC","N","floodplain","Y","limnological variables","not specified","Y","looked at a temporal connectivity gradient by using seasonality but doesn't seem to explicitly look at connectivity","chl_75",NA
"70","trophic state and water quality in the danube floodplain lake (kopacki rit nature park, croatia) in relation to hydrological connectivity","The investigated floodplain lake is located in the marginal part of the Kopacki Rit Nature Park, Croatia, a floodplain area of the Danube. In this chapter, we have assessed the influence of hydrological connectivity with the main channel on the trophic state and water quality in the Lake Sakadas. The evaluation of trophic state combines a number of physical, chemical and biological parameters with the objective to select the relevant indicators for the floodplain lakes. The following environmental parameters have been considered: water temperature, nutrients, dissolved oxygen, water transparency, chlorophyll-a concentration, phytoplankton primary productivity, benthic and periphytic communities and laboratory experiments (nutrient enrichment bioassay). An integrative approach, which includes in situ research and laboratory experiments, indicated strong correlations of abiotic and biotic components with a hydrological regime. Also, during the biological monitoring, occurrence and spread of invasive species was noted as an indication of ecosystem disturbance (hydrological and/or anthropogenic). Therefore, our results contribute to the perception of importance of the hydrological connectivity (by inundation) on the eutrophication process in the investigated floodplain lake.","Persic, Vesna; Cerba, Dubravka; Bogut, Irella; Horvatic, Janja",2011,"RP","MB","N","floodplain","Y","chla and others","inundation","Y",NA,"chl_77",NA
"71","trophic state and water quality in the danube floodplain lake (kopacki rit nature park, croatia) in relation to hydrological connectivity","The investigated floodplain lake is located in the marginal part of the Kopacki Rit Nature Park, Croatia, a floodplain area of the Danube. In this chapter, we have assessed the influence of hydrological connectivity with the main channel on the trophic state and water quality in the Lake Sakadas. The evaluation of trophic state combines a number of physical, chemical and biological parameters with the objective to select the relevant indicators for the floodplain lakes. The following environmental parameters have been considered: water temperature, nutrients, dissolved oxygen, water transparency, chlorophyll-a concentration, phytoplankton primary productivity, benthic and periphytic communities and laboratory experiments (nutrient enrichment bioassay). An integrative approach, which includes in situ research and laboratory experiments, indicated strong correlations of abiotic and biotic components with a hydrological regime. Also, during the biological monitoring, occurrence and spread of invasive species was noted as an indication of ecosystem disturbance (hydrological and/or anthropogenic). Therefore, our results contribute to the perception of importance of the hydrological connectivity (by inundation) on the eutrophication process in the investigated floodplain lake.","Persic, Vesna; Cerba, Dubravka; Bogut, Irella; Horvatic, Janja",2011,"check","MB","n","floodplain lake","y","""trophic state"" (a combination of parameters, including chlorophyll a)","unclear; connected/not connected","y","Potential if the cholorphyll a data is available separate from the aggregated ""trophic state"" metric, look at full text to determine.","chl_77",NA
"72","using stressor-response models to derive numeric nutrient criteria for lakes in the eastern plain ecoregion, china","Lakes in the Eastern Plain ecoregion of China are typically shallow, experience large disturbances, and are hydrologically connected to rivers. In recent years, lake eutrophication in this ecoregion has intensified due to human activities. To determine important regional nutrient criteria, the effects of hydrologic features and disturbances should be taken into account. In this paper, annual average data were used to construct stressor-response models for each hydrological lake type identified for lakes in the Eastern Plain ecoregion. In these models, total nitrogen (TN) and total phosphorus (TP) criteria were obtained from a chlorophyll a (Chl-a, response variable) threshold value. A Chl-a concentration of 4.73 mu gL super(-1) was identified as this threshold value, which was based on the cyanotoxin limits associated with drinking water supply. The three lake types, which differed in hydrological structure, had significantly different TN and TP criteria. For example, lakes connected to the Yangtze River (T sub(1)) had a TN criterion ranging from 0.594 to 0.838mgL super(-1), which was substantially higher than those for lakes that were never connected to the river (T sub(3), 0.234-0.422mgL super(-1)). The exception to this trend occurred for lakes that were historically but not currently connected to the river (T sub(2)) due to P-limitation in this lake type. However, there was little variability in the TP criterion among T sub(1), T sub(2), and T sub(3) lakes, the values of which ranged from 0.021 to 0.037, 0.023 to 0.042, and 0.028 to 0.041mgL super(-1), respectively. This study hypothesized that the hydrological connectivity between lakes and rivers could regulate the relationships between stressors and their biological responses in lakes in the Eastern Plain ecoregion, leading to variability in appropriate nutrient criteria for different lake types. Setting nutrient criteria for the entire ecoregion and for different lake types by using stressor-response models will make the criteria values more credible and defensible.","Zhang, Yali;Huo, Shouliang;Ma, Chunzi;Xi, Beidou;Li, Xiang;Liu, Hongliang",2014,"check","PG","n","lakes connected to a river",NA,"total nitrogen (TN), total phosphorus (TP), chlorophyll a","connected, historically connected or never connected","y",NA,"chl_78",NA
"73","using stressor-response models to derive numeric nutrient criteria for lakes in the eastern plain ecoregion, china",NA,NA,NA,"check","CP","N","lake","Y","total nitrogen, total phosphorus, possibly chl-a","hydrological lake type?","Y","more a focus on nutrients","chl_78",NA
"74","water level as the key controlling regulator associated with nutrient and gross primary productivity changes in a large floodplain-lake system (lake poyang), china",NA,NA,NA,"check","CP","N","floodplain lake","Y","nutrient status, gross primary productivity","Water-level fluctuation?","Y","rising period > wet, dry, falling","chl_79",NA
"75","a multidisciplinary approach to investigate deep-pelagic ecosystem dynamics in the gulf of mexico following deepwater horizon",NA,NA,NA,"check","LY","Y","ocean","Y","nekton, biogeochem","genetic connectivity and correlations","N","I excluded this because completely marine","chl_2","marine"
"76","an abiotic typology and reference conditions for nutrients and chlorophyll-a in subtropical reservoirs (são paulo state, brazil)","The establishment of reference conditions and typology are two important steps in water resources management. The reference conditions enable the determination of how impacted an ecosystem is, while the typology facilitates the implementation of management procedures. A study of subtropical reservoirs in São Paulo State (Brazil) was performed to obtain (1) an abiotic typology, using principal component analysis (PCA) and cluster analysis (Ward's method with Euclidean distances), and (2) reference conditions for total phosphorus (TP), total nitrogen (TN), and chlorophyll-a (Chl-a) in the dry and rainy seasons for one of the established typologies. Two main statistical techniques were used: the lake population distribution approach and the trisection method. PCA identified an environmental gradient in the east-west direction, with reservoirs at higher latitudes and with larger dimensions in the west, and smaller reservoirs in eastern areas with higher altitude and higher average annual rainfall. The PCA and cluster analysis indicated that there were four main types of reservoirs. The nutrient criteria techniques, obtained for 13 type I rainy-east reservoirs, were not significantly different (t test, p &lt; 0.05). Although the methods resulted in similar reference conditions, one-way ANOVA indicated significant differences between the seasons for Chl-a, which levels were slightly higher in the rainy season. As far as we know, this is the first study to simultaneously provide an abiotic typology and reference conditions for chlorophyll-a and nutrients in different seasons, considering subtropical reservoirs in South America. This investigation makes an important contribution to the monitoring and management of subtropical reservoirs, and the promotion of dialog between the scientific community and managers, aiming at ensuring the sustainability of water bodies.","Cardoso-Silva, Sheila;Frascareli, Daniele;Silva, Daniel C V R;Figueira, Rubens César Lopes;Bittencourt, Marisa Dantas;Moschini-Carlos, Viviane;Pompêo, Marcelo",2021,"ES","RP","N","reservoir","Y","Chl-a, Total N, Total P","abiotic typology, reference conditions ","N",NA,"chl_5","connectivity"
"77","assessing the effects of lateral hydrological connectivity alteration on freshwater ecosystems: a meta-analysis",NA,NA,NA,"check","LY","N ","aquatic (rivers, lakes, wetlands/floodplains)","meta-analysis"," macroinverts and fish (abundance and diversity), chl-a and other WQ ","disconnected/moderately connected/highly connected","N","Could be a good model for our meta-analysis.  Includes effect size","chl_7","type"
"78","assessing the effects of lateral hydrological connectivity alteration on freshwater ecosystems: a meta-analysis","The alteration of lateral hydrological connectivity (LHC) is among the major causes of decline in biodiversity and ecosystem functioning and services in river-floodplain ecosystems. Yet, the effects of LHC alteration on aquatic ecosystems have not been rigorously tested and synthesized. Here, we conducted a literature review and meta-analysis to provide a global synthesis of the effects of LHC alteration on aquatic ecosystems, and to test the effectiveness of indicators for bioassessment. In our review we found that the effects of LHC alteration were disproportionally documented in terms of geographic distribution and research subject. Most studies were conducted in Europe and America on the biodiversity and abundance of macroinvertebrates and fish. In our meta-analysis, we compared effect sizes between pairs of three LHC levels, i.e. disconnected, moderately connected, and highly connected. We found that only a limited number of water quality indicators (e.g. chlorophyll a, total phosphorus, conductivity, and dissolved oxygen) and biological community indicators (e.g. fish species richness, and zooplankton abundance) showed significant differences between LHC levels. The responses of these indicators to LHC alteration differed, and sometimes in opposing directions. We found out responsive indicators and their response trends, which could not only facilitate effective biomonitoring and bioassessment with regard to engineering and restoration of LHC, but also provide scientific underpinnings of the understanding of trade-offs among the indicators. We identified knowledge gaps and provided recommendations on how to fill these gaps, which included investigating rarely documented regions, developing new indicators, and quantifying mechanistic links between LHC and ecosystem functioning and services.","Shen, Minghua;Liu, Xueqin",2021,"check","ES","?","multiple","N","WQ+biological community indicators","effect sizes of connectivity","Y",NA,"chl_7",NA
"79","assessing the potential health risk of cyanobacteria and cyanotoxins in lake naivasha, kenya","This study discerned the causes of cyanobacteria blooms in Lake Naivasha (Kenya). We hypothesized that phytoplankton and cyanobacteria biomass respond to hydrologic cycles, peaking during the wet season, and that microcystin (MC) concentrations are highest following the bloom collapse. Hydrologic loading (inferred from rainfall and lake level changes) and phytoplankton responses in two basins of the lake were monitored over a wet season followed by a dry season between September 2010 and March 2011. Results show that both phytoplankton and cyanobacteria biomass peaked in both basins during the wet season, with associated peaks in particulate MC concentrations. Even though phytoplankton and cyanobacteria biomass were higher in the smaller deep basin, MC concentrations were lower than in the large shallow basin. The high-MC levels during the wet season were followed by a greater MC production per cyanobacteria biomass unit in the dry season in both basins. The timing of the cyanobacteria bloom suggests that its formation was likely controlled by large nutrient influxes from the contributing catchment to the lake associated with intense rainfall following an intense drought, posing a risk to the health of the community due to increased MC levels.","Raffoul, M. H.; Enanga, E. M.; Senar, O. E.; Creed, I. F.; Trick, C. G.",2020,"ES","PG","N","lake","Y","phytoplankton, cyanos","hydrologic cycle","y",NA,"chl_8","can I convert this to a yes?"
"80","benthic algal response to hyporheic-surface water exchange in an alluvial river","We studied the response of benthic algae to points of hyporheic-surface water exchange in the main channel of the Middle Fork Flathead River within the Nyack Flood Plain, Montana. We examined hyporheic exchange at 120 sites using piezometers and measuring vertical hydraulic gradient (VHG), hydraulic conductivity, and vertical discharge. We removed benthic algae from a single cobble at each site, and we used VHG to group sampling sites for statistical analysis. Algal cell density and chlorophyll a concentration were significantly higher at sites with hyporheic discharge (+VHG, upwelling) compared to both sites with hyporheic recharge (-VHG, downwelling) and sites with no hyporheic-surface water exchange (=VHG, neutral) (ANOVA, P < 0.05). The assemblages of algae at upwelling sites were also significantly different from downwelling and neutral exchange sites (ANOSIM, P < 0.05). Filamentous green algae Stigeoclonium sp. and Zygnema sp. and a chrysophyte, Hydrurus foetidus (Villars) Trevisan were abundant at upwelling sites, whereas an assemblage of diatoms Achnanthidium minutissimum (Kutzing) Czarnecki, Cymbella excisa Kutzing, Diatoma moniliformis Kutzing, and Gomphonema olivaceoides Hustedt, were the most abundant taxa at downwelling and neutral exchange sites, occurring attached to, or in close association with the stalks of Didymosphenia geminata (Lyngbye) Schmidt. These data show that benthic algal communities are structured differently depending on the direction of hyporheic flux in the main channel of a large alluvial river, suggesting that hyporheic-surface exchange may influence the spatial distribution of main-channel benthic algae in rivers with hyporheic-surface water connectivity.","Wyatt, Kevin H.; Hauer, F. Richard; Pessoney, George F.",2008,"RP","MB","N","river","Y","chla","hyporheic exchange","N","hyporheic flow","chl_10","connectivity"
"81","changing characteristics and driving factors of trophic state of lakes in the middle and lower reaches of yangtze river in the past 30 years",NA,NA,NA,"check","LY","N ","lakes","Y","chl-a and other WQ","connected/not connected","N","abstract in English, rest in Chinese.  Could not find all-English copy.","chl_12","type"
"82","concerns about phytoplankton bloom trends in global lakes","","Feng, Lian;Dai, Yanhui;Hou, Xuejiao;Xu, Yang;Liu, Junguo;Zheng, Chunmiao",2021,"MB","LY","n","lake",NA,NA,NA,"n","Not relevant. Critique of a paper that used satellite remote sensing to calculate bloom intensity. Does not address connectivity.","chl_15","type"
"83","connectivity and habitat typology drive co2 and ch4 fluxes across land-water interfaces in lowland rivers","Lowland rivers are assumed to be a net source of carbon dioxide (CO2) and methane (CH4). However, little is known about the contribution of marginal permanent and temporary riverine aquatic systems to river carbon metabolism. Elevation, in relation to flooding, hydro-morphological, and ecological features of such habitats, can affect the gas fluxes across the water-atmosphere interfaces and the periodically air-exposed riverbeds. This hypothesis was investigated in the lowland sector of the Po River (Northern Italy) from May to September 2008. Five different aquatic habitats were considered: the main river course; a backwater habitat; and three lateral lentic waterbodies-an oxbow and two quarry lakes of different age. The water mass was always CO2 and CH4 supersaturated, and gas fluxes were from the water to the atmosphere. In the highly dynamic river course and backwaters, CO2 emission rates were nearly one order of magnitude greater than in the lentic and hypoxic oxbow and quarry lakes. By contrast, CH4 fluxes peaked in the lentic, deeper, and permanent water bodies. At sediment-atmosphere interfaces, the CO2 emissions increased along an organic matter, a water saturation, and a chlorophyll a gradient, attaining the maximum rates in the periodically air-exposed riverbed and marginal sandy sediments. These differences in gas fluxes resulted from either the submersion persistence or the alternation of submersion and emersion phases, which were ultimately due to the gap between elevation and river water variations. All this stresses the critical role of marginal aquatic habitats for river C budget.","Bolpagni, Rossano; Laini, Alex; Mutti, Tiziana; Viaroli, Pierluigi; Bartoli, Marco",2019,"PG","ES","n","main river,  backwater habitat; and three lateral lentic waterbodies-an oxbow and two quarry lakes of different age","y","sediment-atmosphere interfaces, CO2 emissions, organic matter, a water saturation, CO2, CH4and chlorophyll a","location","y",NA,"chl_16",NA
"84","connectivity and habitat typology drive co2</sub> and ch4</sub> fluxes across land–water interfaces in lowland rivers","Lowland rivers are assumed to be a net source of carbon dioxide (CO 2 ) and methane (CH 4 ). However, little is known about the contribution of marginal permanent and temporary riverine aquatic systems to river carbon metabolism. Elevation, in relation to flooding, hydro‐morphological, and ecological features of such habitats, can affect the gas fluxes across the water–atmosphere interfaces and the periodically air‐exposed riverbeds. This hypothesis was investigated in the lowland sector of the Po River (Northern Italy) from May to September 2008. Five different aquatic habitats were considered: the main river course; a backwater habitat; and three lateral lentic waterbodies—an oxbow and two quarry lakes of different age. The water mass was always CO 2 and CH 4 supersaturated, and gas fluxes were from the water to the atmosphere. In the highly dynamic river course and backwaters, CO 2 emission rates were nearly one order of magnitude greater than in the lentic and hypoxic oxbow and quarry lakes. By contrast, CH 4 fluxes peaked in the lentic, deeper, and permanent water bodies. At sediment–atmosphere interfaces, the CO 2 emissions increased along an organic matter, a water saturation, and a chlorophyll a gradient, attaining the maximum rates in the periodically air‐exposed riverbed and marginal sandy sediments. These differences in gas fluxes resulted from either the submersion persistence or the alternation of submersion and emersion phases, which were ultimately due to the gap between elevation and river water variations. All this stresses the critical role of marginal aquatic habitats for river C budget.","Rossano Bolpagni;Laini, Alex;Mutti, Tiziana;Viaroli, Pierluigi;Bartoli, Marco",2019,"ES","PG","Y","lower river, estuary","Y","CO2, CH4","OM, Chl-a, water sat.","N",NA,"chl_16","connectivity"
"85","freshwater inflow and responses from estuaries across a climatic gradient: an assessment of northwestern gulf of mexico estuaries based on stable isotopes",NA,NA,NA,"check","LY","Y, partly","estuaries","Y","stable isotopes in oysters and chl-a","increased or decreased connectivity depending on isotope similaritie","N","I excluded this because partly marine","chl_26","marine"
