"title","ID","qc","Abstract","Authors","year","Database_unique","search","qc_notes"
"immigration and early life stages recruitment of the european flounder (platichthys flesus) to an estuarine nursery: the influence of environmental factors","chl_39",13,"Connectivity between coastal spawning grounds and estuarine nurseries is a critical step in the life cycle of many fish species. Larval immigration and transport-associated physical-biological processes are determinants of recruitment success to nursery areas. The recruitment of the European flounder, Platichthys flesus, to estuarine nurseries located at the southern edge of the species distribution range, has been usually investigated during its juvenile stages, while estuarine recruitment during the earlier planktonic life stage remains largely unstudied. The present study investigated the patterns of flounder larval recruitment and the influence of environmental factors on the immigration of the early life stages to the Lima estuary (NW Portugal), integrating data on fish larvae and post-settlement individuals (<50mm length), collected over 7years. Late-stage larvae arrived at the estuary between February and July and peak abundances were observed in April. Post-settlement individuals (<50mm) occurred later between April and October, whereas newly-settled ones (<20mm) were found only in May and June. Variables associated with the spawning, survival and growth of larvae in the ocean (sea surface temperature, chlorophyll a and inland hydrological variables) were the major drivers of flounder occurrence in the estuarine nursery. Although the adjacent coastal area is characterized by a current system with strong seasonality and mesoscale variability, we did not identify any influence of variables related with physical processes (currents and upwelling) on the occurrence of early life stages in the estuary. A wider knowledge on the influence of the coastal circulation variability and its associated effects upon ocean-estuarine connectivity is required to improve our understanding of the population dynamics of marine spawning fish that use estuarine nurseries.","Amorim, Eva;Ramos, Sandra;Elliott, Michael;Bordalo, Adriano A",2016,"ASFA: Aquatic Sciences and Fisheries Abstracts","chla",""
"incorporating ecological and evolutionary processes into continental-scale conservation planning","pro_38",181,"Systematic conservation planning research has focused on designing systems of conservation areas that efficiently protect a comprehensive and representative set of species and habitats. Recently, there has been an emphasis on improving the adequacy of conservation area design to promote the persistence and future generation of biodiversity. Few studies have explored incorporating ecological and evolutionary processes into conservation planning assessments. Biodiversity in Australia is maintained and generated by numerous ecological and evolutionary processes at various spatial and temporal scales. We accommodated ecological and evolutionary processes in four ways: ( 1) using sub-catchments as planning units to facilitate the protection of the integrity and function of ecosystem processes occurring on a sub-catchment scale; ( 2) targeting one type of ecological refugia, drought refugia, which are critical for the persistence of many species during widespread drought; ( 3) targeting one type of evolutionary refugia which are important for maintaining and generating unique biota during long-term climatic changes; and ( 4) preferentially grouping priority areas along vegetated waterways to account for the importance of connected waterways and associated riparian areas in maintaining processes. We identified drought refugia, areas of relatively high and regular herbage production in arid and semiarid Australia, from estimates of gross primary productivity derived from satellite data. In this paper, we combined the novel incorporation of these processes with a more traditional framework of efficiently representing a comprehensive sample of biodiversity to identify spatial priorities across Australia. We explored the trade-offs between economic costs, representation targets, and connectivity. Priority areas that considered ecological and evolutionary processes were more connected along vegetated waterways and were identified for a small increase in economic cost. Priority areas for conservation investment are more likely to have long-term benefits to biodiversity if ecological and evolutionary processes are considered in their identification.","Klein, Carissa; Wilson, Kerrie; Watts, Matthew; Stein, Janet; Berry, Sandra; Carwardine, Josie; Smith, Mark Stafford; Mackey, Brendan; Possingham, Hugh P.",2009,"BiosisPreview","pro",""
"influence of a drought event on hydrological characteristics of a small estuary on the amazon mangrove coast","chl_40",141,"The effects of atypical climatic conditions, such as those of a drought event, are remarkably accentuated in minor estuaries filled with sediments and with reduced or sporadic freshwater input, where the salinity intrusion is pronounced. To understand these effects, hydrological and hydrodynamic parameters were evaluated during a drought period in a small estuary located on the eastern Amazon coast in northern Brazil. Five campaigns were conducted between June 2012 and June 2013. Samples were collected from the surface and bottom layer every 3 h over a 25-h period at three stations of the Tapera double dagger u Estuary. To compare drought and post-drought periods, in terms of salinity and chlorophyll-a, data was recorded until June 2015. Tapera double dagger u is a relatively shallow estuary of the Amazon coastal zone, which is characterized by the absence of any direct fluvial discharge, although it does receive freshwater input from adjacent wetlands, as well as less saline waters from the Caet, Estuary through the Taici Creek. Hydrological variables were controlled by rainfall levels and the tidal range, and the water became more saline and more oxygenated, with reduced dissolved nutrient and chlorophyll-a concentrations when precipitation decreased. A significant variation was found between the months of June 2012 (most intense drought) and 2013 (less intense drought). The connection to the neighboring Caet, Estuary and adjacent mangroves and wetlands contributed to the influx of nutrient-enriched waters. Overall, then, it is hoped that the results of this study can contribute to the understanding of the effects of drought events in other minor estuaries on the highly indented Amazon coast, as well as in other areas of the equatorial zone with similar environmental characteristics.","Carneiro Pereira, Luci Cajueiro; Rodrigues da Costa, Adila Kelly; da Costa, Rauquirio Marinho; Magalhaes, Andre; Flores-Montes, Manuel de Jesus; Jimenez, Jose A.",2018,"BiosisPreview","chla",""
"influence of flood connectivity on bottomland hardwood forest productivity in central ohio","pro_39",118,"Aboveground net primary productivity (ANPP) in response to flooding and other environmental variables was evaluated at a 5.2-ha bottomland hardwood forest along the Olentangy River in central Ohio, USA. The forest is composed of two distinct sections that were hydrologically enhanced in 2001. To approximate natural flooding, the north section was enhanced by cutting three breaches in a more than 70-year-old artificial levee. A fourth breach was cut from a natural riverbank in the south section to connect a lateral swale and augment the existing flood regime. The objective of this study was to evaluate various factors that might affect forest productivity after restoration. In 2004, ANPP for the forest was estimated at 847 plus or minus 50 g m super(-2) yr super(-1) (807 plus or minus 86 g m super(-2) yr super(-1) in the north section and 869 plus or minus 86 g m super(-2) yr super(-1) in the south section). Mean ANPP for the entire forest was similar to an estimate prior to restoration and still below productivity levels reported at other bottomland forests along the Olentnagy River and throughout the Midwest U.S. As part of this study, the influence of flood connectivity and other variables on intra-forest ANPP were also examined. Using daily river-stage data and by monitoring study plots at various flood stages, we estimated the number of days each plot was connected to the river. A significant and positive relationship was detected between plot ANPP and the number of days connected to the river during the 2004 water year (Oct. 2003-Sept. 2004). Forest ANPP was also significantly related to total tree basal area and topographic variability.","Anderson, C J;Mitsch, W J",2008,"Agricultural & Environmental Science Collection","pro",""
"influence of hydrological connectivity on winter limnology in floodplain lakes of the saskatchewan river delta, saskatchewan","chl_41",168,"Globally, hydrological connectivity between rivers and their floodplains has been reduced by river flow management and land transformation. The Saskatchewan River Delta is North America's largest inland delta and a hub for fish and fur production. To determine the influence of connectivity on limnology within this northern floodplain, water chemistry and stable isotopes (delta O-18 and delta H-2) were analyzed during the winter of 2014 in 26 shallow lakes along a hydrological gradient. A total of five lake connectivity categories were determined by optical remote sensing imagary of surface water coverage area from years of varying flood intensities. Accuracy of categories was verified by degree of O-18 and H-2 enrichment within lakes. Both isotopes showed marked successional enrichment between connectivity categories, with more isolated lakes exhibiting greater enrichment. Water chemistry in lakes with greater connectivity to the main channel were characterized by higher pH, dissolved oxygen, nitrates, and sulfates and lower total nitrogen, total phosphorus, and ammonium compared with more isolated lakes. These findings illustrate how connectivity influences water chemistry in northern floodplain lakes and how it might determine the suitability of these lakes as winter refuge for fishes. Additionally, our study provides supporting evidence for the effective use of optical remote sensing imagery, an inexpensive and accessible source of data for researchers, when determining connectivity characteristics of large northern floodplain systems. Additionally, this study provides further evidence that the inundation of floodplain lakes by river water during peak discharge has an impact on the conditions within the lakes long into the winter ice-cover season. Understanding the year-round influence of river-floodplain connection is imperative for assessing potential impacts of climate change and future water regulation on such ecosystems.","MacKinnon, Brett D.; Sagin, Jay; Baulch, Helen M.; Lindenschmidt, Karl-Erich; Jardine, Timothy D.",2016,"BiosisPreview","chla",""
"influence of hydrological heterogeneity on rotifer community structure in three different water bodies in shantou area, guangdong (china)","chl_42",150,"Rotifers, small but essential invertebrates in aquatic ecosystems, are sensitive to environmental changes and are proposed to be indicators of trophic state. However, the effects of hydrological heterogeneity on the rotifer community and the ability of rotifer indices to reflect trophic state across different water bodies are still unclear. Here, we investigated rotifer community structure in different seasons in the three types of water bodies: Han river downstream (HD), Reservoir (RE) and Tidal creek (TC) in Shantou City, Guangdong, China. Our findings revealed that rotifer community structure differes significantly among the three water bodies, resulting from a dominance of Keratella cochlearis, Anuraeopsis fissa and Polyarthra vulgaris, who largely accounted for the differences in water bodies. Chlorophyll-a and transparency were the main environmental drivers in RE rotifer communities, while total nitrogen, total phosphorus and salinity were the main factors in HD and TC communities. Rotifer abundance and the rotifer trophic state index decreased in the order: RE > HD > TC. However, both the Sladecek's B/T quotient and the Keratella-index decreased in the order: HD > RE > TC, which was in accordance with the Carlson's trophic index. We conclude that it is efficient to use rotifer composition in water quality assessments when comparing different water bodies. Alpha diversity of rotifers was the highest in HD, which is consistent with the intermediate disturbance hypothesis. Hydrological heterogeneity is the micro-factor that regulates rotifer community structures in the Shantou area.","Liang, Diwen; Wei, Nan; Wang, Qing; Jersabek, Christian D.; He, Xuejia; Yang, Yufeng",2019,"BiosisPreview","chla",""
"influence of riverine connectivity on phytoplankton abundance and diversity of associated wetlands of river ganga: a comparative study of an open and a closed wetland","r2_07",79,"River connectivity is often described as a key requirement for maintaining the health and biodiversity of associated wetlands of rivers. A comparative study was undertaken to understand the influence of river connectivity on plankton diversity and abundance in an open (Chharaganga Beel) and a closed wetland (Kalobaur Beel) situated on the banks of River Ganga in West Bengal, India. During the present investigation, data revealed that the major groups of phytoplankton recorded were Cyanobacteria (33.12%), Bacillariophyta (29.07%), and Chlorophyta (22.34%) from the open wetland, and Bacillariophyta (47.40%), Euglenozoa (30.68%), and Chlorophyta (10.12%) from the closed one. Shannon diversity (H') and Margalef's species richness index indicate that phytoplankton diversity in the Chharaganga ecosystem was higher than in Kalobaur Beel. A one-way ANOVA showed significant station-wise difference for water turbidity (p&lt;0.05) in both of the beels, and student t test revealed that differences in physico-chemical parameters between the studied beels was statistically significant (p&lt;0.05) for depth, turbidity, conductivity, total hardness, nitrate, total N, phosphate-P, silicate, Ca²⁺, Mg²⁺and chlorophyll a,whereas abundance of phytoplankton groups was significantly different for Bacillariophyta (p&lt;0.05) and Euglenozoa (p&lt;0.05). The positive correlation of total N with Euglenozoa (r=0.496; p&lt;0.05) might be the cause of favourable conditions for a higher abundance of Euglenozoa in the closed Kalobaur Beel,which is on the verge of partial eutrophication. The hydrological flushing by river water in the Chharaganga wetland maintains the ecological stability. Therefore, restoration of river connectivity is recommended to improve the health of the disconnected wetlands.","Bayen, Supriti;Mohanty, Trupti Rani;Chanu, Thangjam Nirupada;Johnson, Canciyal;Tiwari, Nitish Kumar;Manna, Ranjan Kumar;Swain, Himanshu Sekhar;Das, Basanta Kumar",2022,"Agricultural & Environmental Science Collection","chla",""
"influences of multi-scale habitat on metabolism in a coastal great lakes watershed","pro_40",28,"Spatial heterogeneity influences ecosystem structure and function across multiple habitat scales. Although primary production and respiration are fundamental to energy cycling in aquatic ecosystems, we know relatively little about how habitat scale influences metabolism. In this study, we adopted a multi-scale habitat approach to evaluate primary production and respiration in a coastal Great Lakes watershed that is experiencing pressure from past, present, and anticipated future human activities. We divided the watershed into five macrohabitats (stream, river, wetland, drowned-river mouth lake, and Great Lake), two mesohabitats (benthic and water column), and four microhabitats (periphytic substrates: sand/sediment, rock, wood, and plant) for evaluation of spatial patterns and synchrony in metabolism. Factors that influenced patterns of metabolism were scale dependent. Algal biomass strongly influenced spatial patterns in metabolism at the meso- and microhabitat scales; greater algal biomass translated to higher areal-specific and lower chlorophyll-specific metabolism at benthic mesohabitat and sand/sediment and rock microhabitats. Benthic metabolism overwhelmed water column metabolism, irrespective of location or time of year. Watershed position was important at the macrohabitat scale, with greater overall metabolism in macrohabitats located lower in the watershed. Average synchrony in metabolism rates was greatest at the macrohabitat scale, suggesting metabolic patterns that are evident at finer scales may become integrated at coarser scales. Our results (1) show that spatial and temporal patterns in metabolism are shaped by factors that are dependent upon habitat scale; (2) highlight the importance of benthic productivity across habitat and season; and (3) suggest that hydrologic connectivity strongly influences ecosystem processes, although physical factors can affect these responses as evidenced by the low levels of synchrony between Lake Michigan and the other macrohabitats.","Ogdahl, Mary E;Lougheed, Vanessa L;Stevenson, RJan;Steinman, Alan D",2010,"ASFA: Aquatic Sciences and Fisheries Abstracts","chla",""
"integrated fracture characterization of asmari reservoir in haftkel field","r3_09",41,"The Asmari reservoir in Haftkel field is one of the most prolific naturally fractured reservoirs in the Zagros folded zone in the southwest of Iran. The primary production was commenced in 1928 and continued until 1976 with a plateau rate of 200,000 bbl/day for several years. There was an initial gas cap on the oil column. Gas injection was commenced in June 1976 and so far, 28% of the initial oil in place have been recovered. As far as we concerned, fracture network is a key factor in sustaining oil production; therefore, it needs to be characterized and results be deployed in designing new wells to sustain future production. Multidisciplinary fracture evaluation from well to reservoir scale is a great privilege to improve model’s accuracy as well as enhancing reliability of future development plan in an efficient manner. Fracture identification and modeling usually establish at well scale and translate to reservoir using analytical or numerical algorithms with the limited tie-points between wells. Evaluating fracture network from production data can significantly improve conventional workflow where limited inter-well information is available. By incorporating those evidences, the fracture modeling workflow can be optimized further where lateral and vertical connectivity is a concern. This paper begins with the fracture characterization whereby all available data are evaluated to determine fracture patterns and extension of fracture network across the field. As results, a consistent correlation is obtained between the temperature gradient and productivity of wells, also convection phenomenon is confirmed. The findings of this section help us in better understanding fracture network, hydrodynamic communication and variation of temperature. Fracture modeling is the next step where characteristics of fractures are determined according to the structural geology and stress directions. Also, the fault’s related fractures and density of fractures are determined. Meanwhile, the results of data evaluation are deployed into the fracture model to control distribution and characteristics of fracture network, thereby a better representation is obtained that can be used for evaluating production data and optimizing development plan.","Khadivi, Kourosh;Alinaghi, Mojtaba;Dehghani, Saeed;Soltani, Mehrbod;Hassani, Hamed;Mosavi, Seyed Chaseb;Shiralipour, Mansour;Fardin, Hashem;Sanjari, Sadegh;Partovi, Mohammad",2022,"ASFA: Aquatic Sciences and Fisheries Abstracts","pro",""
"intra-annual patterns in the benthic-pelagic fluxes of dissolved and particulate matter","pro_41",44,"In coastal temperate environments, many processes known to affect the exchange of particulate and dissolved matter between the seafloor and the water column follow cyclical patterns of intra-annual variation. This study assesses the extent to which these individual short term temporal variations affect specific direct drivers of seafloor-water exchanges, how they interact with one another throughout the year, and what the resulting seasonal variation in the direction and magnitude of benthic-pelagic exchange. Existing data from a multidisciplinary long-term time-series from the Western Channel Observatory, UK, were combined with new experimental and in-situ data collected throughout a full seasonal cycle. These data were used to define an average year, split into five ‘periods’ (winter, pre-bloom, bloom, post-bloom and autumn) based around the known importance of pelagic primary production and hydrodynamically active phases of the year. Multivariate analyses were used to identify specific sub-sets of parameters that described the various direct drivers of seafloor-water exchanges. Both dissolved and particulate exchange showed three distinct periods of significant flux during the year, although the specific timings of these periods and the cause-effect relationships to the direct and indirect drivers differed between the two types of flux. Dissolved matter exchange was dominated by an upward flux in the pre-bloom period driven by diffusion, then a biologically induced upward flux during the bloom and an autumn downward flux. The latter was attributable to the interactions of hydrodynamic and biological activity on the seafloor. Particulate matter exchanges exhibited a strongly hydrologically influenced upward flux during the winter, followed by a biologically induced downward flux during the bloom and a second period of downward flux throughout post-bloom and autumn periods. This was driven primarily through interactions between biological activity, and physical and meteorological drivers. The integrated, holistic and quantitative data-based analysis of intra-annual variability in benthic/pelagic fluxes presented in this study in a representative temperate coastal environment, demonstrates not only the various process’ inter-connectivity, but also their relative importance to each other. Future investigations or modelling efforts of similar systems will benefit greatly from the relationships and baseline rules established in this study.","Rühl, Saskia;Thompson, Charlie E L;Queirós, Ana M;Widdicombe, Stephen",2020,"ASFA: Aquatic Sciences and Fisheries Abstracts","pro",""
"intra-annual variation of chlorophyll-a and nutrients in a hydraulically perturbed river-floodplain system in the grijalva river basin","chl_43",140,"Background: The lateral connectivity in the Maluco river-floodplain system was partially reduced by the highway built on a natural barrier. Goal: To determine if the concentrations of chlorophyll-a (Chl-a) and nutrients contrast in different water levels (WL) during a hydrologic year in the Maluco river-floodplain system. Methods: The WL, Chl-a, and nutrients (NO2-, NO3-, NH(4)(+)and TP) were simultaneously measured six times in two sites during two years. The expected differences of Chl-a and nutrients concentrations, related to the intra-annual fluctuation of the WL, were tested through multivariate techniques. The hypothesis holds that there will be no intra-annual differences of Chl-a and nutrients due to the reduction of lateral interconnection by the physical effect of the embankment. Results: No variable was discarded during PCA. The intra-annual distribution of samples was similar according to the similarity profile routine. Furthermore: 1) more than 54% of the Chl-a and TP values indicated hypereutrophic conditions throughout the year, and 2) none of the values of WL surpassed the height of the bankfull (4.5 mast). The maximum concentrations of Chl-a were registered at the minimum WL values. Conclusions: The intra-annual similarity of Chl-a and inorganic nutrients can be linked to the disconnection between the floodplain and the Grijalva river since the bankfull was not overflowed throughout the sampling time. The intra-annual trend independent at the time of persistence of the high Chl-a and TP concentrations ill the river-floodplain system opens up the opportunity to estimate the minimum input flow required to biogeochemical processes in a long-term study.","Cruz-Ramirez, Allan K.; Angel Salcedo, Miguel; Sanchez, Alberto J.; de Dios Mendoza, Juan; Barba, Everardo; Alvarez-Pliego, Nicolas; Florido, Rosa",2019,"BiosisPreview","chla",""
"investigation of discharge-area groundwaters for recharge source characterization on different scales: the case of jinan in northern china","r3_10",10,"Discharge-area groundwater in Jinan, a typical karst region in northern China, was investigated by studying both the hydrological and chemical processes evolving from the recharge in mountainous terrains to the karst-spring outflows in the metropolitan area. Large-scale exploitation of karst groundwater has led to a disturbing trend in the ever-decreasing spring outflow rates and groundwater level. There is insufficient information about the Jinan karst aquifers, which provide the main water sources to meet human demand and to sustain spring outflow. The coupling of hydrological and chemical processes quantifies the flow system through aqueous chemistry characterization of the water sources. This approach is used to study the groundwater flow discharges in different locations and geological settings. The potentiometric data indicated limited vertical connectivity between distinct hydrogeological units and alteration of the recharge regime by the faults and by artificial exploitation. Shallow groundwater primarily belongs to the local flow system, with high nitrate concentration and enriched stable isotopic contents. Thermal groundwater has high concentrations of chloride and total dissolved solids, derived from a regional flow system with the highest recharge altitudes and long residence time. Non-thermal karst water may be attributed to the intermediate flow system, with uniform HCO sub(3)-Ca(Mg) facies and low nitrate concentration. This work highlighted discharge as a fingerprint of groundwater flow conditions and provides a better insight into the hydrogeological system.Original Abstract: L'eau souterraine de la zone de decharge de Jinan, une region karstique typique dans le nord de la Chine, a fait l'objet d'une recherche par le biais d'une etude conjointe des processus hydrologiques et chimiques qui se developpent de la zone de recharge dans les terrains de montagne jusqu'aux emergences de sources karstiques dans l'aire metropolitaine. L'exploitation a grande echelle de l'eau souterraine du karst a conduit a une tendance alarmante de diminution ininterrompue du debit des sources et du niveau piezometrique des eaux souterraines. Il n'y a une information insuffisante concernant les aquiferes karstiques de Jinan, qui constituent les ressources en eau principales pour repondre a la demande en eau potable et pour assurer le soutien du debit des sources. Le couplage des processus hydrologiques et chimiques quantifie le systeme d'ecoulement grace a la caracterisation de l'hydrochimie des ressources en eau. Cette approche est utilisee pour etudier la decharge de l'ecoulement d'eau souterraine dans des localisations et des contextes geologiques differents. Les donnees de charges hydrauliques ont indique une connectivite verticale limitee entre les unites hydrogeologiques distinctes et une perturbation du regime de recharge par les failles et par l'exploitation artificielle. Les eaux souterraines peu profondes relevent essentiellement du systeme d'ecoulement local, avec une concentration elevee en nitrate et un enrichissement en isotopes stables. L'eau souterraine thermale a des concentrations elevees en chlorures et en matieres dissoutes totales, provenant d'un systeme d'ecoulement regional avec des altitudes de recharge les plus elevees et de long temps de sejour. L'eau non-thermale du karst peut etre attribuee a un systeme d'ecoulement intermediaire, avec un facies uniforme de type HCO sub(3)-Ca(Mg) et une concentration faible en nitrate. Ce travail fait clairement apparaitre la decharge comme l'expression des conditions d'ecoulement souterrain et fournit un meilleur apercu du systeme hydrogeologique.","Wang, Jiale;Jin, Menggui;Lu, Guoping;Zhang, Dele;Kang, Fengxin;Jia, Baojie",2016,"ASFA: Aquatic Sciences and Fisheries Abstracts","chla",""
"is net ecosystem production higher in natural relative to constructed wetlands?","pro_42",192,"Ecosystem metabolism is an important measure of wetland restoration efficiency, and serves to indicate if the system is capable of processing energetic resources. Despite its value, ecosystem metabolism has rarely been included in monitoring programs. In this study, we aimed to achieve the following objectives: (i) compare net ecosystem production (NEP) rates of constructed vs. natural wetlands; (ii) identify the highest NEP rate habitats; and (iii) define the main environmental factors regulating NEP in different wetland types. Pelagic and benthic NEP rates and physicochemical features were measured in three natural and five constructed wetlands in the middle Ebro River floodplain (NE Spain). Statistical analyses showed pelagic NEP rates peaked in natural wetlands, which produced up to 187.5 mg C m(-3) h(-1) compared to lower rates in constructed wetlands (up to 46.2 mg C m(-3) h(-1)). Pelagic NEP responded positively to temperature, total dissolved solids, and nutrients. Benthic NEP rates were 3 to 30-fold greater than pelagic in natural (up to 994.9 mg C m(-3) h(-1)) and constructed (up to 1,551.5 mg C m(-3) h(-1)) wetlands, and were heavily influenced by habitat type, with NEP peaking in areas dominated by submerged vegetation and fine organic sediment. Rapid recovery in aquatic communities (i. e. macroinvertebrate diversity) has been previously reported for the studied wetlands; however, our study suggests a slower recovery of functional processes (i.e. pelagic NEP) in constructed habitats. We therefore strongly advocate the inclusion of ecosystem function in the design and evaluation of restoration projects to optimise long-term wetland ecosystem sustainability.","Espanol, Cecilia; Gallardo, Belinda; Rosa Pino, M.; Martin, Ana; Comin, Francisco A.",2013,"BiosisPreview","pro",""
"lake age and water level affect the turbidity of floodplain lakes along the lower rhine","chl_44",137,"1. We sampled a set of 93 lakes situated in the floodplains of the lower River Rhine in search for morphometric and other factors that explain their variation in clarity. 2. Lakes with a drop in summer water level were less turbid at the time of sampling, mainly because of a lower concentration of inorganic suspended solids (ISS). 3. We also found that older lakes were more turbid than younger lakes and that this was largely because of an increase in phytoplankton. 4. Water clarity was positively related to lake depth and the presence of vegetation. 5. Model calculations indicated that the underwater light climate was strongly affected by chlorophyll and ISS, the latter being the dominant factor affecting Secchi depth. Dissolved organic carbon (DOC) was less important. 6. The high concentration of ISS suggests that intensive resuspension occurs in most of the lakes. Using a simple wave model, and assuming that vegetation protects sediments against resuspension, we could eliminate wind resuspension as an important process in 90% of the lakes, leaving resuspension by benthivorous fish as probably the most important factor determining transparency. 7. Chlorophyll a concentration showed a strong positive correlation to ISS concentration, suggesting that resuspension may also have a positive effect on phytoplankton biomass in these lakes. 8. In conclusion, in-lake processes, rather than river dynamics, seem to be driving the turbidity of floodplain lakes along the lower River Rhine.","Roozen, F. C. J. M.; Van Geest, G. J.; Ibelings, B. W.; Roijackers, R.; Scheffer, M.; Buijse, A. D.",2003,"BiosisPreview","chla",""
"landscape controls on thermokarst lake water fluxes between inuvik and tuktoyaktuk, northwest territories, canada","r3_11",120,"The Arctic is warming at twice the rate of the rest of the world, causing precipitation to shift from snowfall to rainfall, longer snow-free and ice-free summers, increased evapotranspiration, and permafrost thaw. It is necessary to understand how thermokarst lake water fluxes will react to these changes if we are to predict future greenhouse gas fluxes from lakes. Greenhouse gas fluxes from lakes are tied to the amount of lateral carbon delivery into the lake, the residence time of lake waters, and the temperature of lake waters, all of which are regulated by lake water fluxes and lake characteristics. The Arctic is warming at twice the rate of the rest of the world, causing precipitation to shift from snowfall to rainfall, longer snow-free and ice-free summers, increased evapotranspiration, and permafrost thaw. It is necessary to understand how thermokarst lake water fluxes will react to these changes if we are to predict future greenhouse gas fluxes from lakes. Greenhouse gas fluxes from lakes are tied to the amount of lateral carbon delivery into the lake, the residence time of lake waters, and the temperature of lake waters, all of which are regulated by lake water fluxes and lake characteristics. We measured lake water flux components at multiple spatial and temporal scales across the 5000 km (super 2) boreal-tundra transition zone between Inuvik and Tuktoyaktuk, Northwest Territories, Canada. Lake water flux components were measured at two adjacent thermokarst lakes with different ratios of lake area to catchment area (LACA), from 2017-2019. Also, stable water isotope samples were collected from March-September 2018 from approximately 100 lakes across 2000 km (super 2) . From these samples we estimated the ratio of evaporation to inflow, residence time, and the mixture of snowmelt and rainfall runoff in each lake. Catchments of all 7500 lakes in the region were delineated using a high-resolution digital elevation model in order to estimate their LACA, and evaluate connectivity between lakes. Lake temperature, conductivity, dissolved oxygen, pH, DOC, DON, and chlorophyll profiles were also measured from approximately 50 lakes pre-snowmelt in 2019. We measured lake water flux components at multiple spatial and temporal scales across the 5000 km (super 2) boreal-tundra transition zone between Inuvik and Tuktoyaktuk, Northwest Territories, Canada. Lake water flux components were measured at two adjacent thermokarst lakes with different ratios of lake area to catchment area (LACA), from 2017-2019. Also, stable water isotope samples were collected from March-September 2018 from approximately 100 lakes across 2000 km (super 2) . From these samples we estimated the ratio of evaporation to inflow, residence time, and the mixture of snowmelt and rainfall runoff in each lake. Catchments of all 7500 lakes in the region were delineated using a high-resolution digital elevation model in order to estimate their LACA, and evaluate connectivity between lakes. Lake temperature, conductivity, dissolved oxygen, pH, DOC, DON, and chlorophyll profiles were also measured from approximately 50 lakes pre-snowmelt in 2019. Lakes with a smaller LACA had a larger portion of their inflow evaporate, longer residence times, and have less of their water replaced after rainfall events. Coupling isotope samples taken before, during, and after snowmelt with field observations also revealed that the majority of snowmelt runoff flowed overtop of lake ice and through the outlet, as the lake ice stopped snowmelt runoff entering the lake until it had melted sufficiently. LACA and lake connectivity also varied greatly across the 7500 lakes in the region. Further work this year will compare lake limnological properties and greenhouse gas fluxes with LACA and other lake and catchment properties. Lakes with a smaller LACA had a larger portion of their inflow evaporate, longer residence times, and have less of their water replaced after rainfall events. Coupling isotope samples taken before, during, and after snowmelt with field observations also revealed that the majority of snowmelt runoff flowed overtop of lake ice and through the outlet, as the lake ice stopped snowmelt runoff entering the lake until it had melted sufficiently. LACA and lake connectivity also varied greatly across the 7500 lakes in the region. Further work this year will compare lake limnological properties and greenhouse gas fluxes with LACA and other lake and catchment properties.","Wilcox, E;Walker, B;Hould Gosselin, Gabriel;Wolfe, Brent B;Sonnentag, Oliver;Marsh, Philip;Saarela, Taija;Anonymous",2019,"GeoRef","chla",""
"landscape ecology: a framework for integrating pattern and process in river corridors","pro_43",73,"Investigations of European floodplain rivers demonstrate how landscape ecology can provide an effective framework to integrate pattern and process in river corridors, to examine environmental dynamics and interactive pathways between landscape elements, and to develop viable strategies for river conservation. The highly complex and dynamic nature of intact river corridors is particularly amenable to a landscape ecology perspective. Analysis of spatial patterns has provided considerable insight into environmental heterogeneity across river corridors and is an essential prelude to examining dynamic interactions. For example, data from aerial photographs, digitized maps and year-round field measurements in a glacial flood plain, enabled us to distinguish six channel types, based on the correspondence between connectivity and physicochemical attributes. Spatial data were also used to analyze longitudinal changes in landscape elements along the course of a morphologically-intact riverine corridor, providing insight into the structural complexity that must have characterized many Alpine rivers in the pristine state. Landscape indices were employed to investigate seasonal dynamics in a glacial flood plain of the Swiss Alps which exhibits a predictable expansion/contraction cycle, with corresponding shifts in flow paths (surface and subsurface) and water sources (snowmelt, englacial, subglacial, alluvial aquifer, hillslope aquifer). Surface connectivity exhibited an unexpected biphasic relationship with total channel length, whereas riverscape diversity progressively increased along the entire range of channel length. Reconstituting the functional integrity that characterizes intact river corridors should perhaps be the major goal of river conservation initiatives. Although understanding functional processes at the landscape scale is essential in this regard, few data are available. In the Alluvial Zone National Park on the Austrian Danube, three phases of hydrological connectivity were identified (disconnection, seepage connection and surface connection) that corresponded to the predominance of three functional processes (biotic interactions, primary production and particulate transport) within the river corridor.","Ward, J V;Malard, F;Tockner, K",2002,"ASFA: Aquatic Sciences and Fisheries Abstracts","pro",""
