"","title","abstract","authors","article_type","pub_year","volume","database_id","database_type","reviewer_name","consistency_check","marine_y_n","water_body_type","original_research_y_n","response_variable","connectivity_metric","inclusion","notes","ID"
"28","fish assemblages of tropical floodplain lagoons: exploring the role of connectivity in a dry year","Irregular rainfall and pronounced reductions of the hydrometric level in the year 2000 resulted in drastically altered hydrological connectivity of lentic environments in the upper Parana River floodplain. The objective of the present work was to examine spatial and temporal patterns of fish assemblage attributes and structure in relation to limnological variables associated with hydrological connectivity. Fish were collected quarterly by seining in the marginal areas of 15 lagoons belonging to two biotopic categories (connected and disconnected). Variation, in assemblage composition reflected the degree of hydrological connectivity. Values of assemblage attributes (species richness, density and biomass) were significantly lower in connected lagoons than in disconnected lagoons. Significantly higher values of species richness and biomass were recorded in November than in August. Rare species had the greatest effect on observed patterns in fish assemblage ordination (DCA). Observed patterns of variation in assemblage attributes were directly correlated with factors related to hydrological connectivity, such as depth, resources (zooplankton and chlorophyll a) and nutrients (total phosphorus).","Petry, Ana Cristina; Agostinho, Angelo Antonio; Gomes, Luiz Carlos","Scholarly Journals","2003","1","BIOSIS:PREV200510180551","wos","DC","LY","n","river floodplain","y","fish community composition and biomass","depth","y","chla is included in predictors, but is not the main response variable, so may not work","chl_23"
"29","floodplain lake assessment and fish assemblage dynamics in the mississippi alluvial valley (mississippi alluvial valley)","Floodplain lakes in the Mississippi Alluvial Valley (MAV) provide valuable freshwater resources for states in which they occur. Thirty lakes in portions of Mississippi and Arkansas were surveyed for chlorophyll-a fluorescence and turbidity using handheld meters to determine relationships between chlorophyll-a concentrations and suspended solids. High applicability of handheld meters in the MAV presents economic benefits for monitoring the numerous lakes in the region. Additionally, twelve lakes within Bear Creek watershed, Mississippi were studied to determine how hydrologic connectivity shapes fish communities. Isolated and permanently connected floodplain lakes exhibited characteristically lacustrine and rheophilic fish communities, respectively, diversifying fishery management opportunities. Lastly, spring diel temperature and oxygen dynamics, as well as juvenile fish communities, were assessed within three habitats in a floodplain lake - pelagic environment, margin and contiguous wetlands. Variability in temperature and oxygen across the three habitats promotes spring habitat heterogeneity while supporting distinct but overlapping juvenile fish assemblages.","Steiner Andrews, Caroline Noelle","Books","2013","52","1520375284","proquest","ES","MB","N","floodplain 'lakes'","Y","fish communities","habitat type","Y",NA,"chl_24"
"30","floods increase similarity among aquatic habitats in river-floodplain systems","During low water levels, habitats in river-floodplain systems are isolated from each other and from the main river. Oppositely, floods tend to connect water bodies with distinct hydrological characteristics and, as a result, ecological processes and biological communities tend to be more similar among the distinct habitats that comprise a river-floodplain system. Based on a literature review and also using unpublished data obtained in tropical floodplains, the aim of this paper is to highlight the effects of floods as a process that reduce spatial variability. The usual negative relationship between the coefficient of variation of any ecological indicator (e.g., chlorophyll-a or total phosphorus) and water level is the main result demonstrating a reduction in spatial variability due to floods. Considering physical, chemical or biotic data gathered in distinct habitats within the floodplain, this pattern was found in temperate and tropical regions, subjected to distinct levels of anthropogenic impacts, and at different spatial extents. The main mechanism that accounts for this pattern may be stated as follow. During low water level, the biological communities of each habitat in the floodplain (e.g. lagoons, backwater, streams) follow distinct temporal trajectories due to the effects of local driving forces (e.g. an efficient predator trapped in a lagoon but not in another). Management plans and biodiversity conservation in river floodplain systems will benefit by considering the effects of flood homogenization and increased connectivity peculiar to these unique ecosystems.[PUBLICATION ABSTRACT]","Thomaz, Sidinei M;Bini, Luis Mauricio;Bozelli, Reinaldo Luiz","Scholarly Journals","2007","579","821237454","proquest","DC","MB","n","river-floodplain systems","n","chlorophyll and nutrients","water level","y","Combination of literature review and analysis of unpublished data","chl_25"
"31","freshwater inflow and responses from estuaries across a climatic gradient: an assessment of northwestern gulf of mexico estuaries based on stable isotopes","NA","NA","NA","NA","NA","NA","NA","LY","NA","Y, partly","estuaries","Y","stable isotopes in oysters and chl-a","increased or decreased connectivity depending on isotope similaritie","N","I excluded this because partly marine","chl_26"
"32","functional indicators of stream health: a river-basin approach","Summary1. The efficacy of leaf-litter decomposition, sediment respiration, biofilm biomass, growth, chlorophyll a concentration and the autotrophic index (biofilm ash-free dry mass-chlorophyll a) and fungal biomass for detecting human-induced change was evaluated using 24 references and 15 disturbed stream sites located in central Portugal.2. Decomposition rates of alder (Alnus glutinosa) and oak (Quercus robur) leaves and sediment respiration rates were effective in discriminating impairment. Decomposition was negatively correlated with abiotic factors, such as ammonium and nitrite concentrations, connectivity and alterations in the hydrological regime, and positively correlated with nitrate concentration and oxygen concentration. Sediment respiration rates were correlated with organic contamination, land use and morphological changes.3. Growth rates of biofilm, concentration of chlorophyll a and the autotrophic index, although 41-73% higher at disturbed compared to reference sites, were not significantly different. These three variables were significantly correlated with total organic carbon, oxygen concentration, pH, nitrite and the presence of dams. Fungal biomass on leaves and biofilm biomass on natural substrata did not differ between reference and disturbed sites.4. Our findings lend support to the use of functional variables like decomposition and sediment respiration in monitoring and when used together with structural variables should give a more holistic measure of stream health.","FEIO, MJ;Alves, T;BOAVIDA, M;Medeiros, A;Graca, Mas","Scholarly Journals","2010","55","746081344","proquest","PG","LY","n","stream","y","leaf-litter decomposition, sediment respiration, biofilm biomass, growth, chlorophyll a concentration and the autotrophic index","dams/alterations in the hydrological regime","y",NA,"chl_27"
"33","functional indicators of stream health: a river-basin approach","NA","NA","NA","NA","NA","NA","NA","LY","NA","N ","river","Y","chl-a, biofilm growth, autotrophic index","connected/not connected","Y","Although connectivity is only minor component, focus on disturbed vs. undisturbed sites","chl_27"
"34","granal stacking of thylakoid membranes in higher plant chloroplasts: the physicochemical forces at work and the functional consequences that ensue","The formation of grana in chloroplasts of higher plants is examined in terms of the subtle interplay of physicochemical forces of attraction and repulsion. The attractive forces between two adjacent membranes comprise (1) van der Waals attraction that depends on the abundance and type of atoms in each membrane, on the distance between the membranes and on the dielectric constant, (2) depletion attraction that generates local order by granal stacking at the expense of greater disorder (i.e. entropy) in the stroma, and (3) an electrostatic attraction of opposite charges located on adjacent membranes. The repulsive forces comprise (1) electrostatic repulsion due to the net negative charge on the outer surface of thylakoid membranes, (2) hydration repulsion that operates at small separations between thylakoid membranes due to layers of bound water molecules, and (3) steric hindrance due to bulky protrusions of Photosystem I (PSI) and ATP synthase into the stroma. In addition, specific interactions may occur, but they await experimental demonstration. Although grana are not essential for photosynthesis, they are ubiquitous in higher plants. Grana may have been selected during evolution for the functional advantages that they confer on higher plants. The functional consequences of grana stacking include (1) enhancement of light capture through a vastly increased area-to-volume ratio and connectivity of several PSIIs with large functional antenna size, (2) the ability to control the lateral separation of PSI from PSII and, therefore, the balanced distribution of excitation energy between two photosystems working in series, (3) the reversible fine-tuning of energy distribution between the photosystems by State 1-State 2 transitions, (4) the ability to regulate light-harvesting via controlled thermal dissipation of excess excitation energy, detected as non-photochemical quenching, (5) dynamic flexibility in the light reactions mediated by a granal structure in response to regulation by a trans-thylakoid pH gradient, (6) delaying the premature degradation of D1 and D2 reaction-centre protein(s) in PSII by harbouring photoinactived PSIIs in appressed granal domains, (7) enhancement of the rate of non-cyclic synthesis of adenosine triphosphate (ATP) as well as the regulation of non-cyclic vs. cyclic ATP synthesis, and (8) the potential increase of photosynthetic capacity for a given composition of chloroplast constituents in full sunlight, concomitantly with enhancement of photochemical efficiency in canopy shade. Hence chloroplast ultrastructure and function are intimately intertwined.","Chow, Wah Soon; Kim, Eun-Ha; Horton, Peter; Anderson, Jan M.","Scholarly Journals","2005","4","BIOSIS:PREV200600205047","wos","MB","PG",NA,NA,NA,NA,NA,"n","Not relevant, about chloroplasts","chl_28"
"35","greenhouse gas emissions from lakes along a permafrost gradient in western canada; climate feedback dominated by methane","NA","NA","NA","NA","NA","NA","NA","LY","NA","N ","lakes","Y","methane & CO2 emissions","N/A","N","I excluded this because it is a conference abstract only and no connectivity","chl_29"
"36","hydrologic controls on the trophic status of shallow lakes on the boreal plain","The trophic status of shallow lakes on the Boreal Plain of Alberta exhibits high natural variation in space and time. It is not currently known what the dominant controls on this variation are at regional scales and over longer time periods. The aim of this thesis is to characterize the natural variation in trophic status, as measured by the concentration of chlorophyll a (CHLa), and assess the importance of hydrology, captured by climatic and landscape metrics, in explaining the spatial and temporal variation in trophic status. Indicators of trophic status were derived from Landsat images acquired during late summer (August) over a 20 year period from 1984 to 2003. A two-way analysis of variance revealed that of the total variation in CHLa, approximately 50 percent was in the spatial component, 10 percent was in the temporal component and 40 percent was in the spatio-temporal component, which also included the error term. Variation in the temporal component was related non-linearly to climate, as measured by effective precipitation (precipitation minus evapotranspiration). The relation between CHLa and climate indicated that under wet conditions CHLa decreased possibly due to phosphorus dilution and that under dry conditions CHLa increased possibly due to phosphorus concentration. Variation in the spatial component was related to indicators of groundwater and surface water connectivity. Lakes, situated in regional groundwater flow systems, exhibited higher CHLa than lakes situated in local groundwater flow systems. For the majority of lakes, situated in local groundwater flow systems, high wetland cover in their catchments corresponded to low CHLa whereas low wetland cover corresponded to high CHLa. For the minority of lakes, located in regional groundwater flow systems, higher stream connectivity was associated with higher CHLa. Overall, groundwater and surface water variables explained 74 percent of the spatial variation and climatic variables explained 78 percent of the temporal variation. These results underscore the importance of considering hydrology when understanding the sources of variation in trophic status measured at regional scales over long time periods. Incorporating hydrologic knowledge in resource management may help in mitigating impacts of resource activities.","Sass, Gabor Z","Books","2006","68","20435600","proquest","ES","RP","N","lake","Y","trophic status (Chl-a)","climatic and landscape metrics","N",NA,"chl_30"
"37","hydrologic controls on the trophic status of shallow lakes on the boreal plain","The trophic status of shallow lakes on the Boreal Plain of Alberta exhibits high natural variation in space and time. It is not currently known what the dominant controls on this variation are at regional scales and over longer time periods. The aim of this thesis is to characterize the natural variation in trophic status, as measured by the concentration of chlorophyll a (CHLa), and assess the importance of hydrology, captured by climatic and landscape metrics, in explaining the spatial and temporal variation in trophic status. Indicators of trophic status were derived from Landsat images acquired during late summer (August) over a 20 year period from 1984 to 2003. A two-way analysis of variance revealed that of the total variation in CHLa, approximately 50 percent was in the spatial component, 10 percent was in the temporal component and 40 percent was in the spatio-temporal component, which also included the error term. Variation in the temporal component was related non-linearly to climate, as measured by effective precipitation (precipitation minus evapotranspiration). The relation between CHLa and climate indicated that under wet conditions CHLa decreased possibly due to phosphorus dilution and that under dry conditions CHLa increased possibly due to phosphorus concentration. Variation in the spatial component was related to indicators of groundwater and surface water connectivity. Lakes, situated in regional groundwater flow systems, exhibited higher CHLa than lakes situated in local groundwater flow systems. For the majority of lakes, situated in local groundwater flow systems, high wetland cover in their catchments corresponded to low CHLa whereas low wetland cover corresponded to high CHLa. For the minority of lakes, located in regional groundwater flow systems, higher stream connectivity was associated with higher CHLa. Overall, groundwater and surface water variables explained 74 percent of the spatial variation and climatic variables explained 78 percent of the temporal variation. These results underscore the importance of considering hydrology when understanding the sources of variation in trophic status measured at regional scales over long time periods. Incorporating hydrologic knowledge in resource management may help in mitigating impacts of resource activities.","Sass, Gabor Z","Books","2006","68","20435600","proquest","ES","RP","N","lake","Y","chla","groundwater connectivity","Y","based on landsat analysis but relevant","chl_30"
"38","hydrologic variability, water chemistry, and phytoplankton biomass in a large floodplain of the sacramento river, ca, u.s.a","The Yolo Bypass, a large, managed floodplain that discharges to the headwaters of the San Francisco Estuary, was studied before, during, and after a single, month-long inundation by the Sacramento River in winter and spring 2000. The primary objective was to identify hydrologic conditions and other factors that enhance production of phytoplankton biomass in the floodplain waters. Recent reductions in phytoplankton have limited secondary production in the river and estuary, and increased phytoplankton biomass is a restoration objective for this system. Chlorophyll a was used as a measure of phytoplankton biomass in this study. Chlorophyll a concentrations were low (<4 mug l-1) during inundation by the river when flow through the floodplain was high, but concentrations rapidly increased as river inflow decreased and the floodplain drained. Therefore, hydrologic conditions in the weeks following inundation by river inflow appeared most important for producing phytoplankton biomass in the floodplain. Discharges from local streams were important sources of water to the floodplain before and after inundation by the river, and they supplied dissolved inorganic nutrients while chlorophyll a was increasing. Discharge from the floodplain was enriched in chlorophyll a relative to downstream locations in the river and estuary during the initial draining and later when local stream inflows produced brief discharge pulses. Based on the observation that phytoplankton biomass peaks during drainage events, we suggest that phytoplankton production in the floodplain and biomass transport to downstream locations would be higher in years with multiple inundation and draining sequences.","Schemel, Laurence Edward; Sommer, Ted R.; Muller-Solger, Anke B.; Harrell, William C.","Scholarly Journals","2004","513","BIOSIS:PREV200400273679","wos","DC","RP","n","floodplain and river","y","chlorophyll-a","floodplain inundation","y",NA,"chl_31"
"39","hydrological connectivity and basin morphometry influence seasonal water-chemistry variations in tundra ponds of the northwestern hudson bay lowlands","Due to shallow depth and high surface area-to-volume ratio, ponds of the Hudson Bay Lowlands are vulnerable to climatic and hydrological changes, but relations between hydrological processes and limnological conditions remain unknown. Here, we measured water balance and limnological variables (water chemistry, suspended sediments, chlorophyll-a) at 20 ponds near Churchill (Manitoba) three times during the ice-free season of 2010 to explore relations among hydrological connectivity, basin morphometry, and water chemistry variations. Using principal components analysis, we identified that the ponds followed one of four distinctive ""seasonal water chemistry trajectories"" (SWCT1-4). Most of the ponds that lacked apparent hydrologic connectivity displayed SWCT1, characterized by rising alkalinity and ionic content between early June and late July due to evaporative concentration. In contrast, most ponds with apparent hydrological connectivity displayed SWCT2 or SWCT3, characterized by marked changes in suspended sediment and total nitrogen concentrations due to inflow that transferred allochthonous materials from the catchment. Ponds in SWCT2 likely possessed temporary hydrological connections during periods of relatively high water supply and exhibited marked decline of suspended sediment and total nitrogen content when hydrological connection was lost. Most ponds in SWCT3 maintained active hydrological connections during all or most of the ice-free season and possessed relatively high suspended sediment and total nitrogen concentrations throughout the season. Ponds in SWCT4 possessed relatively stable water chemistry due to greater water depth and local features that reduced wind-induced sediment resuspension. We conclude that hydrological connectivity and basin morphometry exert important influence on seasonal pond water-chemistry dynamics.","White, Jerry;Hall, Roland I;Wolfe, Brent B;Light, Erin M;Macrae, Merrin L;Fishback, LeeAnn;Keller, Wendel;Paterson, Andrew M;Ruehland, Kathleen M;Blais, Jules M","Scholarly Journals","2014","46","2367028852","proquest","check","ES","N","lakes","Y","water chem., Chl-a, suspended sed","seasonal chemistry trajectories","Y",NA,"chl_32"
"40","hydrological connectivity and basin morphometry influence seasonal water-chemistry variations in tundra ponds of the northwestern hudson bay lowlands","Due to shallow depth and high surface area-to-volume ratio, ponds of the Hudson Bay Lowlands are vulnerable to climatic and hydrological changes, but relations between hydrological processes and limnological conditions remain unknown. Here, we measured water balance and limnological variables (water chemistry, suspended sediments, chlorophyll-a) at 20 ponds near Churchill (Manitoba) three times during the ice-free season of 2010 to explore relations among hydrological connectivity, basin morphometry, and water chemistry variations. Using principal components analysis, we identified that the ponds followed one of four distinctive ""seasonal water chemistry trajectories"" (SWCT1-4). Most of the ponds that lacked apparent hydrologic connectivity displayed SWCT1, characterized by rising alkalinity and ionic content between early June and late July due to evaporative concentration. In contrast, most ponds with apparent hydrological connectivity displayed SWCT2 or SWCT3, characterized by marked changes in suspended sediment and total nitrogen concentrations due to inflow that transferred allochthonous materials from the catchment. Ponds in SWCT2 likely possessed temporary hydrological connections during periods of relatively high water supply and exhibited marked decline of suspended sediment and total nitrogen content when hydrological connection was lost. Most ponds in SWCT3 maintained active hydrological connections during all or most of the ice-free season and possessed relatively high suspended sediment and total nitrogen concentrations throughout the season. Ponds in SWCT4 possessed relatively stable water chemistry due to greater water depth and local features that reduced wind-induced sediment resuspension. We conclude that hydrological connectivity and basin morphometry exert important influence on seasonal pond water-chemistry dynamics.","White, Jerry;Hall, Roland I;Wolfe, Brent B;Light, Erin M;Macrae, Merrin L;Fishback, LeeAnn;Keller, Wendel;Paterson, Andrew M;Ruehland, Kathleen M;Blais, Jules M","Scholarly Journals","2014","46","2367028852","proquest","PG","ES","n","ponds","y","water-chemistry"," marked changes in suspended sediment and total nitrogen concentrations due to inflow that transferred allochthonous materials from the catchment","y","lowland ponds, measured connectivity directly, but no mention of chl","chl_32"
"41","hydrological connectivity and flood pulses as the central aspects for the integrity of a river-floodplain system","NA","NA","NA","NA","NA","NA","NA","LY","NA","N ","river and floodplain","Y","Nutrients, suspended solids, and chl-a","connectivity gradient from lotic to lentic","Y","lateral, longitudinal, and groundwater-surface connectivity","chl_33"
"42","hydrological connectivity as most probable key driver of chlorophyll and nutrients in oxbow lakes of the bug river (poland)","Concentrations of chlorophyll, dissolved inorganic nitrogen and phosphorus, total phosphorus and suspended solids were analysed in 10 oxbow lakes of the Bug River in spring and summer. According to their connectivity with the river, all lakes were divided into 3 categories – lakes connected with the river channel but separated from the floodplain inputs, lakes connected with the river but receiving inputs from the floodplain and totally isolated lakes. Connected lakes showed significantly higher concentrations of available nutrients and chlorophyll but the relationship between the two variables was weak in the spring and non-existent in the summer. Suspended solids were also more abundant in connected than in isolated lakes. Analyses of the proportion of chlorophyll and particulate phosphorus in suspension led us to the conclusion that water movement in connected lakes inhibited sedimentation and kept algae in the water column. Isolated oxbow lakes devoid of wind-driven mixing were more susceptible to algal sedimentation which would explain the differences observed between the two lake categories.","Kufel, Lech;Szymon Leśniczuk","Scholarly Journals","2014","46","2000146923","proquest","DC","MB","n","lake","y","chlorophyll and nutrients","connectivity to river","y",NA,"chl_34"
"43","hydrological connectivity, and the exchange of organic matter and nutrients in a dynamic river-floodplain system (danube, austria)","1. The relationship between hydrological connectivity, and the exchange processes of suspended sediments, organic matter and nutrients (NO sub(3)-N) was investigated in a dynamically connected river-floodplain segment of the Danube over a 15-month period in 1995 and 1996 in the Alluvial Zone National Park, Austria. 2. Based on water level dynamics and water retention times, three phases of river-floodplain connectivity were identified: disconnection (phase I), seepage inflow (phase II) and upstream surface connection (phase III). The frequency of occurrence of these phases was 67.5%, 29.3% and 3.2%, respectively, during the study period. 3. A conceptual model is presented linking hydrological connectivity with ecological processes. Generally, the floodplain shifts from a closed and mainly biologically controlled ecosystem during phase I to an increasingly open and more hydrologically controlled system during phases II and III. Phase I, with internal processes dominating, is designated the 'biotic interaction phase'. 4. Phase II, with massive nutrient inputs to the floodplain yet relatively high residence times, and therefore, high algal biomass, is classified as the 'primary production phase'. This demonstrates that water level fluctuations well below bankfull may considerably enhance floodplain productivity. 5. Finally, since transport of particulate matter is mainly restricted to short flood pulses above bankfull level, phase III has been defined as the 'transport phase'. 6. The floodplain served as a major sink for suspended sediments (250 mt ha super(-1) year super(-1)), FPOM (96 mt ha super(-1) year super(-1)), particulate organic carbon (POC; 2.9 mt ha super(-1) year super(-1)) and nitrate-nitrogen (0.96 mt ha super(-1) year super(-1)), but was a source for dissolved organic carbon (DOC; 240 kg ha super(-1) year super(-1)), algal biomass (chlorophyll-a; 0.5 kg ha super(-1) year super(-1)) and CPOM (21 kg ha super(-1) year super(-1)). Considerable quantities of DOC and algal biomass were exported to the river channel during phase II, whereas particulate matter transport was largely restricted to the short floods of phase III. 7. The Danube Restoration Project will create a more gradual change between the individual phases by increasing hydrological connectivity between the river channel and the floodplain, and is predicted to enhance productivity by maintaining a balance between retention and export of nutrients and organic matter.","Tockner, K;Pennetzdorfer, D;Reiner, N;Schiemer, F;Ward, J V","Scholarly Journals","1999","41","17380345","proquest","MB","DC","n","river and floodplain","y","algal biomass, dissolved organic carbon, CPOM, suspended sediments","categorized into three phases: disconnection, seepage inflow, upstream surface connection","y","Provides a potentially useful connectivity classification system and describes transport between floodplain and river","chl_35"
"44","hydrological connectivity, and the exchange of organic matter and nutrients in a dynamic river-floodplain system (danube, austria)","1. The relationship between hydrological connectivity, and the exchange processes of suspended sediments, organic matter and nutrients (NO sub(3)-N) was investigated in a dynamically connected river-floodplain segment of the Danube over a 15-month period in 1995 and 1996 in the Alluvial Zone National Park, Austria. 2. Based on water level dynamics and water retention times, three phases of river-floodplain connectivity were identified: disconnection (phase I), seepage inflow (phase II) and upstream surface connection (phase III). The frequency of occurrence of these phases was 67.5%, 29.3% and 3.2%, respectively, during the study period. 3. A conceptual model is presented linking hydrological connectivity with ecological processes. Generally, the floodplain shifts from a closed and mainly biologically controlled ecosystem during phase I to an increasingly open and more hydrologically controlled system during phases II and III. Phase I, with internal processes dominating, is designated the 'biotic interaction phase'. 4. Phase II, with massive nutrient inputs to the floodplain yet relatively high residence times, and therefore, high algal biomass, is classified as the 'primary production phase'. This demonstrates that water level fluctuations well below bankfull may considerably enhance floodplain productivity. 5. Finally, since transport of particulate matter is mainly restricted to short flood pulses above bankfull level, phase III has been defined as the 'transport phase'. 6. The floodplain served as a major sink for suspended sediments (250 mt ha super(-1) year super(-1)), FPOM (96 mt ha super(-1) year super(-1)), particulate organic carbon (POC; 2.9 mt ha super(-1) year super(-1)) and nitrate-nitrogen (0.96 mt ha super(-1) year super(-1)), but was a source for dissolved organic carbon (DOC; 240 kg ha super(-1) year super(-1)), algal biomass (chlorophyll-a; 0.5 kg ha super(-1) year super(-1)) and CPOM (21 kg ha super(-1) year super(-1)). Considerable quantities of DOC and algal biomass were exported to the river channel during phase II, whereas particulate matter transport was largely restricted to the short floods of phase III. 7. The Danube Restoration Project will create a more gradual change between the individual phases by increasing hydrological connectivity between the river channel and the floodplain, and is predicted to enhance productivity by maintaining a balance between retention and export of nutrients and organic matter.","Tockner, K;Pennetzdorfer, D;Reiner, N;Schiemer, F;Ward, J V","Scholarly Journals","1999","41","17380345","proquest","DC","MB","n","river and floodplain","y","algal biomass, dissolved organic carbon, CPOM, suspended sediments","categorized into three phases: disconnection, seepage inflow, upstream surface connection","y","","chl_35"
"45","hydrological pulse regulating the bacterial heterotrophic metabolism between amazonian mainstems and floodplain lakes","We evaluated in situ rates of bacterial carbon processing in Amazonian floodplain lakes and mainstems, during both high water (HW) and low water (LW) phases (p &lt; 0.05). Our results showed that bacterial production (BP) was lower and more variable than bacterial respiration, determined as total respiration. Bacterial carbon demand was mostly accounted by BR and presented the same pattern that BR in both water phases. Bacterial growth efficiency (BGE) showed a wide range (0.2-23%) and low mean value of 3 and 6%, (in HW and LW, respectively) suggesting that dissolved organic carbon was mostly allocated to catabolic metabolism. However, BGE was regulated by BP in LW phase. Consequently, changes in BGE showed the same pattern that BP. In addition, the hydrological pulse effects on mainstems and floodplains lakes connectivity were found for BP and BGE in LW. Multiple correlation analyses revealed that indexes of organic matter (OM) quality (chlorophyll-a, N stable isotopes and C/N ratios) were the strongest seasonal drivers of bacterial carbon metabolism. Our work indicated that: (i) the bacterial metabolism was mostly driven by respiration in Amazonian aquatic ecosystems resulting in low BGE in either high or LW phase; (ii) the hydrological pulse regulated the bacterial heterotrophic metabolism between Amazonian mainstems and floodplain lakes mostly driven by OM quality.","Vidal, Luciana O;Abril, GwenÃ¤el;Artigas, Luiz F;Melo, Michaela L;Bernardes, Marcelo C;LobÃ£o, LÃºcia M;Reis, Mariana C;Moreira-Turcq, PatrÃ­cia;Benedetti, Marc;Tornisielo, Valdemar L;Roland, Fabio","Scholarly Journals","2015","6","1725025157","proquest","MB","RP","n","floodplain lakes and mainstems","y","bacterial carbon processing: bacterial production, bacterial respiration, bacterial growth efficiency ","high water/low water phases","y","Paper does examine the impacts of different water phases, but is bacterial processing a response variable of interest for our purposes?","chl_36"
"46","hydrological pulse regulating the bacterial heterotrophic metabolism between amazonian mainstems and floodplain lakes","We evaluated in situ rates of bacterial carbon processing in Amazonian floodplain lakes and mainstems, during both high water (HW) and low water (LW) phases (p &lt; 0.05). Our results showed that bacterial production (BP) was lower and more variable than bacterial respiration, determined as total respiration. Bacterial carbon demand was mostly accounted by BR and presented the same pattern that BR in both water phases. Bacterial growth efficiency (BGE) showed a wide range (0.2-23%) and low mean value of 3 and 6%, (in HW and LW, respectively) suggesting that dissolved organic carbon was mostly allocated to catabolic metabolism. However, BGE was regulated by BP in LW phase. Consequently, changes in BGE showed the same pattern that BP. In addition, the hydrological pulse effects on mainstems and floodplains lakes connectivity were found for BP and BGE in LW. Multiple correlation analyses revealed that indexes of organic matter (OM) quality (chlorophyll-a, N stable isotopes and C/N ratios) were the strongest seasonal drivers of bacterial carbon metabolism. Our work indicated that: (i) the bacterial metabolism was mostly driven by respiration in Amazonian aquatic ecosystems resulting in low BGE in either high or LW phase; (ii) the hydrological pulse regulated the bacterial heterotrophic metabolism between Amazonian mainstems and floodplain lakes mostly driven by OM quality.","Vidal, Luciana O;Abril, Gwenäel;Artigas, Luiz F;Melo, Michaela L;Bernardes, Marcelo C;Lobão, Lúcia M;Reis, Mariana C;Moreira-Turcq, Patrícia;Benedetti, Marc;Tornisielo, Valdemar L;Roland, Fabio","Scholarly Journals","2015","6","1725025157","proquest","MB","RP","N","floodplain","Y","bacterial production","hydrologic pulse","Y","may not be as relevant but worth keeping for next step","chl_36"
"47","hydrological seasonality and benthic algal biomass in a neotropical floodplain river","Our study evaluated spatiotemporal variation of physicochemical parameters and benthic and sestonic algal biomass in littoral areas of the main channel and floodplain lakes of the Cinaruco River, a lowland tributary of the Orinoco River in Venezuela. The Cinaruco is characterized by a highly predictable annual flood pulse, high transparency, and extremely low conductivity and suspended sediment load. During 2002 and 2003, 10 sites in the main channel and floodplain lagoons were sampled on 12 occasions. Correspondence analysis based on water physicochemical variables and algal biomass showed that (similar to)80% of the variation in the multivariate space among sites and sampling dates was explained by 2 axes. During the high-water periods, river and lagoon sites showed high similarity in water variables and algal biomass. Conductivity, SiO 3 , and chlorophyll a concentrations (both benthic and sestonic) were low during the high-water phase. On the other hand, water variables and algal biomass differed between river and lagoon sites during the low-water period. The absence of flow in lagoons and consistently low algal biomass (sestonic and benthic) in river sites were the most important features of the spatial variability between main channel and lagoon sites during low-water phases. Benthic chlorophyll a was highly uniform at small spatial scales and significantly heterogeneous at large spatial scales. The annual flood regime of the Cinaruco, which drives the concentrations of dissolved materials and affects material interchanges between aquatic and terrestrial systems, also appears to be responsible for creating strong patterns of seasonal and spatial variation in benthic algal crops. (copyright) 2006 by The North American Benthological Society.","Montoya, J V;Roelke, D L;Winemiller, KO;Cotner, J B;Snider, JA","Scholarly Journals","2006",NA,"925402266","proquest","PG","CP","n","river and floodplain lakes/lagoons","y","Conductivity, SiO 3 , and chlorophyll a concentrations (both benthic and sestonic) ","water-period","y",NA,"chl_37"
"48","hydrological seasonality and spatio-temporal dynamics of physico-chemical variables of a tropical floodplain river","","Montoya, Jose V.; Roelke, Daniel L.; Winemiller, Kirk O.; Cotner, James","Scholarly Journals","2004","89","BIOSIS:PREV200500123844","wos","DC","MB","n","floodplain lakes and main channel","y","chlorophyll a","water level","y","","chl_38"
"49","hydrological seasonality and spatio-temporal dynamics of physico-chemical variables of a tropical floodplain river","","Montoya, Jose V.; Roelke, Daniel L.; Winemiller, Kirk O.; Cotner, James","Scholarly Journals","2004","89","BIOSIS:PREV200500123844","wos","check","MB","n","floodplain lakes and main channel","y","water variables; chlorophyll a","high water/low water phases","y","includes chlorophyll a as response variable to high and low water phases in floodplain and river channel. Note: Correct article title is ""Hydrological seasonality and benthic algal biomass in a Neotropical floodplain river""","chl_38"
